,re_A,re_B,re_FairA,re_FairB,re_Ahat,re_Bhat
0,13.946214893203571,15.67006759417595,13.906235419263902,15.693775923086417,13.870213984309208,15.668131046462248
1,10.05217571830161,11.583170891482268,10.015939135638861,11.601576939729839,9.994288893976453,11.57885188277632
2,9.04383370707438,9.963814007008567,8.672200686506446,10.161911765771857,8.475857890583017,9.95264104448661
3,7.591522606724934,8.627112756711133,7.52087730015507,8.679327020267664,7.4323568565233264,8.617583778501057
4,6.552182235063317,7.625081982529466,6.502204547306333,7.657613054643146,6.446790746311671,7.613691776793976
5,5.973301726013611,6.627392058044464,5.723063791148764,6.738610233408862,5.6009026472852,6.613214023568008
6,5.321680639446734,5.68753659608781,5.0279898044343785,5.881092066704199,4.797344968971743,5.650436546484805
7,4.747502315358335,4.7485141501366215,4.371522663382214,5.051096950327927,4.0566635088139416,4.7362384056455955
8,4.097546072814389,3.9353268559950667,3.7572442742287686,4.214975180932898,3.4286112821640056,3.921892638192107
9,3.4641966011456047,3.180817016916429,3.1101195738738516,3.4490703308514483,2.820169414722798,3.1716650086074885
10,2.756980160607911,2.4858223639242603,2.5011048717480704,2.6943548813793874,2.2695246327788485,2.4772235910903215
11,2.276271847982194,1.8771580268604915,1.8883625117627552,1.993316053278887,1.8185990699452383,1.8716664737874658
12,1.4129197865458818,1.3896198107769497,1.4004194554224405,1.3966152436607924,1.3851975125147888,1.3888761378467578
13,1.0043175119870507,0.9865630912329171,0.9935019873313725,0.9924720036202725,0.9828666254538911,0.9859165210251095
14,0.7303208868325951,0.7297496366444166,0.7205460933638217,0.7351018114631704,0.7107031984032292,0.7291739320121567
15,0.47528589455904025,0.4809476501597591,0.4719871109726992,0.48269002234010316,0.4693356690871715,0.48071300383052834
16,0.2777464803465162,0.2941885431459845,0.27478407075295214,0.2957398006368593,0.27252409967136787,0.29398120776142866
17,0.1397627746901602,0.16376454872422078,0.13770914041229323,0.16484309534473782,0.1361270476650568,0.16362058755671988
18,0.07908345950304572,0.09153186388544893,0.07709684981323592,0.09257722693945668,0.07559875501245379,0.09139406845217912
19,0.04019722488488933,0.05033344891270367,0.03876678876539568,0.05108397432181399,0.03769321353238694,0.05023188881951309
20,0.019140451737525817,0.024110050041233528,0.01832883357715573,0.024537234521835396,0.017673631222685057,0.024052134841021387
21,3.399982799757985e-29,3.8071673015679377e-29,1.8391645933025953e-14,2.0666853241062628e-14,3.5365748389107917e-29,2.795062801794329e-29
