,loss_A,loss_B,lossFair_max
0,0.022543743470574994,0.1351117686731196,0.061616340054348274
1,0.02433376266569634,0.17002067278399693,0.07370828776325411
2,0.026549416161932973,0.42670364289398666,0.1611302775404738
3,0.013382386390433307,0.1945114144625868,0.07512112062114648
4,0.012272033936004711,0.16623462496760108,0.06339952890852064
5,0.01383708797970022,0.19341387400764048,0.07363265912482522
6,0.01215604607202464,0.21519389878649026,0.07901327112367099
7,0.012609903420809566,0.2565262654054419,0.10308651200377555
8,0.014251676974226444,0.24907212063364473,0.09371263417284366
9,0.01462094526748348,0.2682311678145197,0.10196603285533394
10,0.018440483071546835,0.29006120619379594,0.10804514706901765
11,0.01527148478829577,0.2850930882204396,0.11202782934394956
12,0.015815157489825794,0.36897931614956636,0.1271709152384885
13,0.017324597534244902,0.3264643962779858,0.12520260290512242
14,0.016159622075228246,0.2844244130698228,0.1084288897855648
15,0.0154391855513552,0.2776197033009658,0.10695400132338422
16,0.021320914360951036,0.2875590128223024,0.11247113185590499
17,0.01559293929650512,0.3409285975257048,0.13216381692636053
18,0.016548694758934706,0.3213034846753761,0.1249689059190899
19,0.016497675745321242,0.3473934072753794,0.13103074764977124
