,re_A,re_B,re_FairA,re_FairB,re_Ahat,re_Bhat
0,34.01742795224203,33.768842145850925,33.74439779181195,33.83847055520497,33.67795681830113,33.76303039673954
1,29.642075345034645,28.728343654644643,29.266649079538137,28.923591865021624,29.04183318848182,28.721177474893818
2,25.076860355147677,24.99418729845105,24.758737265740933,25.101819415189762,24.644644949231868,24.98351926817279
3,22.07003386654299,22.006578653394353,21.813382601706497,22.100559588617276,21.713834713320814,21.997777431792436
4,20.646076013329452,20.59498426407153,20.360237974180055,20.69901264043573,20.249645471185914,20.585127912220624
5,19.479359081415154,19.347693584865745,19.17102756137245,19.460728263241535,19.05056802639488,19.337720846267043
6,18.60355442989256,18.374262158120555,18.23168640004861,18.50610704326991,18.092713382531315,18.364824916762448
7,17.77383785967088,17.516324774100728,17.37622796618648,17.664275907180734,17.21966418264434,17.506575092717117
8,16.94355086421902,16.716954866392147,16.591997985203832,16.85859479107826,16.44242842071837,16.708400610183052
9,16.3742181566374,15.996869723829864,15.9684454056716,16.1702288179457,15.78621409714568,15.987973601776172
10,15.799003861835402,15.348390254006066,15.372344952496869,15.527959759497689,15.183285254739681,15.338956934209966
11,15.210562141395426,14.715831251493503,14.800961798622183,14.893084449079907,14.614729131837814,14.706833850444314
12,14.726071902787464,14.174036916981146,14.290088602851549,14.355621742093637,14.10004064498235,14.165109779845107
13,14.190540391316128,13.663291895943765,13.778191890610666,13.839600458834942,13.592745437152889,13.654276649823741
14,13.751708163753763,13.16192973092695,13.339690197711034,13.340769403546608,13.151697397156848,13.153010266058233
15,13.338893625105676,12.714565668226077,12.930584711470148,12.891187768949214,12.745373725322152,12.706106887624532
16,12.984473765661413,12.346388357927403,12.564349242097286,12.520498828953935,12.380668748095726,12.337028423614267
17,12.602582803486316,11.987187114168881,12.217211967159725,12.158411568572898,12.037181101125286,11.978699572849221
18,12.308558525486532,11.64725319838755,11.914101702588328,11.825817660779077,11.72652525421847,11.638910382512059
19,12.002736524165373,11.337610697887747,11.614863251725268,11.513102888155581,11.429919131934726,11.328878122603816
