,re_A,re_B,re_FairA,re_FairB,re_Ahat,re_Bhat
0,35.0974577495804,32.979085391261584,35.075125784778486,32.99085378902647,35.05736351809028,32.97082684975766
1,30.286046190026344,28.009152033297518,30.22846133433968,28.034450938516596,30.170357115801014,27.97867991289682
2,26.24599505500462,24.560644159378832,26.143033167779173,24.606362797818292,26.022980274915593,24.484160798837934
3,23.109249178680415,21.63410439759555,22.97886175655474,21.696848190418688,22.87164721116817,21.58815393693386
4,21.721762076061385,20.20749032057912,21.49866425339331,20.335598686971732,21.315628152297535,20.153452801917634
5,20.387618186431023,19.003469089891574,20.07981924335924,19.152901839212763,19.867646843725417,18.940501405788744
6,19.459150935099053,18.066150568131466,19.09029403199234,18.2692240192584,18.831851685752767,18.010737151187005
7,18.44543686057223,17.256911837210247,18.12888430724123,17.433771675774896,17.894425339192967,17.19936293530854
8,17.487487560169477,16.480791341577355,17.25200180724366,16.59619966899246,17.075851622541162,16.419236315523897
9,16.74869724899484,15.788327562287916,16.47611880813882,15.925217598207606,16.27412477641629,15.722676887203013
10,16.10798843581199,15.161101961462377,15.799675293150178,15.306490570792375,15.58654583090527,15.09320611773141
11,15.424816947750198,14.549340708347406,15.1231115363092,14.700184119069585,14.905383429597512,14.482111943249627
12,14.883516319083006,14.015541668226565,14.554594341036616,14.187875902816872,14.314783692842859,13.948039978222724
13,14.335762918058311,13.51230566617119,14.02011740931061,13.67634841066299,13.789014762152382,13.444891488519504
14,13.873146840412494,13.012265548008136,13.5584145624715,13.187375527248989,13.320869048974897,12.94962821867257
15,13.449380136540006,12.56283205745434,13.136760532184285,12.734606781211761,12.90310744498903,12.500778354051361
16,13.053735484913055,12.201673422199345,12.744705088316229,12.368672248240882,12.518705152548423,12.14275915986394
17,12.66965227461889,11.84851268859435,12.368017752790365,12.012550389313846,12.147236275133288,11.79164253115477
18,12.296743247109571,11.52489676564296,12.000209327249921,11.681843247194843,11.78489848613072,11.466665721353923
19,11.955006297818853,11.225419539715235,11.670996266177374,11.374465572097748,11.463040042838198,11.1656765917098
