,loss_A,loss_B,lossFair_max
0,0.04009423149014338,0.008258541504035866,0.020026939268758523
1,0.11568907422533971,0.030472120400689345,0.058104218538631784
2,0.22301478008894404,0.07648336054106751,0.12220199898045096
3,0.23760196751222537,0.04595046065587171,0.10869425348529434
4,0.40613392369614165,0.05403750152541361,0.18303610187541527
5,0.519971334267778,0.06296772568009917,0.2124004565041622
6,0.6272988315771177,0.05541345855875096,0.25848689455370205
7,0.5510116070671598,0.0575487348735778,0.23445848551709247
8,0.4116357272110883,0.061555878532236645,0.17696273327430634
9,0.4745727003558519,0.06565074429033073,0.20254064141473146
10,0.5214499995587626,0.0678976799777278,0.21328243803381516
11,0.5194340657736495,0.06722881413983241,0.21807326036581065
12,0.5687373057619933,0.0675029931331994,0.2398380350344939
13,0.5467628900581448,0.06741442649025368,0.23145847492045932
14,0.5522831137195761,0.06264065893657915,0.2377443733536017
15,0.546288867871228,0.06206529517621215,0.2338329042420509
16,0.535041515063829,0.05892291693655782,0.22591663711705454
17,0.522411573088453,0.05686862963621901,0.220917514917183
18,0.5118506165263323,0.05823432262234648,0.21522231939493786
19,0.4920123719219205,0.05966937346697922,0.20876551951134678
