,re_A,re_B,re_FairA,re_FairB,re_Ahat,re_Bhat
0,34.300279180263125,31.921546250764887,34.33935177684696,31.839085040730634,34.277735436792625,31.78643448209181
1,29.27264644675066,27.194024148605305,29.322020971848218,27.0908655849303,29.248312684085022,27.024003475821317
2,25.22642014115953,24.040908945614067,25.361001002537982,23.7749474981365,25.199870724997616,23.614205302720546
3,22.183341814266694,21.30871675809256,22.244300480318994,21.189326464244537,22.16995942787597,21.1142053436215
4,20.76226439933574,19.90792136865948,20.813391895260384,19.804690501104503,20.749992369615658,19.741686764441862
5,19.50022500216283,18.775271212386833,19.560020596492436,18.654664725530157,19.486387926273444,18.581857332714105
6,18.515756046290466,17.93134564490744,18.58243101336345,17.79516623840445,18.503600089963438,17.716156076452986
7,17.63335940998137,17.210124743838442,17.71859221042912,17.05668543490856,17.62074980245173,16.95359828106886
8,16.797203672994627,16.473285259820678,16.876085900500613,16.317926920429418,16.7829533244868,16.224214969489214
9,16.070947960414443,15.867950237684578,16.156962197176597,15.701671844019371,16.056324758587145,15.599706126313405
10,15.417187210922084,15.288929232259699,15.506789381196977,15.105713924248311,15.398744189726033,14.998896028558496
11,14.778529521335027,14.721978287400988,14.872474360947976,14.548922416411337,14.763258159817108,14.436882753165317
12,14.226938556026376,14.263292953556002,14.338292677894717,14.01661938664984,14.211122071005708,13.894313883437965
13,13.719763222834167,13.718790137056422,13.827406365323982,13.517531695527538,13.702437338402563,13.392332430605245
14,13.227316222372515,13.215942103186471,13.318566856874945,13.039943965993608,13.21114714679401,12.931526772079469
15,12.779501846298313,12.790471063508972,12.86946299217516,12.619800577040959,12.764061864158826,12.512852264832324
16,12.40562528732784,12.440668031661147,12.496522433841282,12.265577266643247,12.384301482237749,12.153104711197171
17,12.029944496748357,12.142434004227741,12.146489557086307,11.933569142007258,12.014321338709768,11.801476524949933
18,11.69521027132945,11.805591978796349,11.801787794693416,11.609270009298374,11.678651121457927,11.484341909639195
19,11.38016303977711,11.52387070529082,11.494680766875636,11.30701443646134,11.363830123214381,11.17653406831292
